team_id,manager,6-week blend,8-week blend,10-week blend
1,Kline is Mine,29.09,29.84,29.609999999999996
10,Team Bows,24.67,29.64,32.82
11,The Show,45.01,46.150000000000006,46.79
12,Coach,93.82000000000001,90.56,87.78
2,Barry Mash,75.92,71.41,68.06
3,Bill Cosby's Sleepers,60.85,58.5,57.3
4,Should Be In C League,28.07,32.4,35.35
5,Five Star Man,19.86,25.629999999999995,30.009999999999998
6,Gruesome Twosome,42.47,39.58,38.06
7,Lonesome Onesome,48.4,47.620000000000005,47.47
8,Master of Coin,88.92999999999999,84.89,82.43
9,RVIII,42.91,43.78,44.32
